prompt,A,B,C,D,E,answer,wiki_fact
In which areas can superslow processes be detected?,"Biology, astronomy, physics, mechanics, economics, linguistics, ecology, gerontology.",Traditional scientific research focused on describing brain reactions.,Fluid flows through thin and long tubes forming stagnation zones.,Optimization of computational processes in mathematics.,Applications in economic geography.,A,"Superslow processes are processes in which values change so little that their capture is very difficult because of their smallness in comparison with the measurement error.

Applications
Most of the time, the superslow processes lie beyond the scope of investigation due to the reason of their superslowness.  Multiple gaps can be easily detected in biology, astronomy, physics, mechanics, economics, linguistics, ecology, gerontology, etc.
Biology: Traditional scientific research in this area was focused on the describing some brain reactions.Mathematics: In mathematics, when the fluid flows through thin and long tubes it forms stagnation zones where the flow becomes almost immobile.  If the ratio of tube length to its diameter is large, then the potential function and stream function are almost invariable on very extended areas.  The situation seems uninteresting, but if we remember that these minor changes occur in the extra-long intervals, we see here a series of first-class tasks that require the development of special mathematical methods.Mathematics: Apriori information regarding the stagnation zones  contributes to optimization of the computational process by replacing the unknown functions with the corresponding constants in such zones.  Sometimes this makes it possible to significantly reduce the amount of computation, for example in approximate calculation of conformal mappings of strongly elongated rectangles.Economic Geography: The obtained results are particularly useful for applications in economic geography.  In a case where the function describes the intensity of commodity trade, a theorem about its stagnation zones gives us (under appropriate restrictions on the selected  model) geometric dimensions estimates of the stagnation zone of the world-economy (for more information about a stagnation zone of the world-economy, see Fernand Braudel, Les Jeux de L'echange).For example, if the subarc of a domain boundary has zero transparency, and the flow of the gradient vector field of the function through the rest of the boundary is small enough, then the domain for such function is its stagnation zone.Stagnation zones theorems are closely related to pre-Liouville's theorems about evaluation of solutions fluctuation, which direct consequences are the different versions of the classic Liouville theorem about conversion of the entire doubly periodic function into the identical constant.Identification of what parameters impact the sizes of stagnation zones opens up opportunities for practical recommendations on targeted changes in configuration (reduction or increase) of such zones.


== References ==."
How can stagnation zones be used in mathematics?,By replacing unknown functions with corresponding constants in stagnation zones.,By reducing the amount of computation in approximate calculation of conformal mappings.,By developing special mathematical methods for first-class tasks.,By providing geometric dimensions estimates of the world-economy stagnation zone.,By evaluating solutions fluctuation in pre-Liouville's theorems.,A,"Superslow processes are processes in which values change so little that their capture is very difficult because of their smallness in comparison with the measurement error.

Applications
Most of the time, the superslow processes lie beyond the scope of investigation due to the reason of their superslowness.  Multiple gaps can be easily detected in biology, astronomy, physics, mechanics, economics, linguistics, ecology, gerontology, etc.
Biology: Traditional scientific research in this area was focused on the describing some brain reactions.Mathematics: In mathematics, when the fluid flows through thin and long tubes it forms stagnation zones where the flow becomes almost immobile.  If the ratio of tube length to its diameter is large, then the potential function and stream function are almost invariable on very extended areas.  The situation seems uninteresting, but if we remember that these minor changes occur in the extra-long intervals, we see here a series of first-class tasks that require the development of special mathematical methods.Mathematics: Apriori information regarding the stagnation zones  contributes to optimization of the computational process by replacing the unknown functions with the corresponding constants in such zones.  Sometimes this makes it possible to significantly reduce the amount of computation, for example in approximate calculation of conformal mappings of strongly elongated rectangles.Economic Geography: The obtained results are particularly useful for applications in economic geography.  In a case where the function describes the intensity of commodity trade, a theorem about its stagnation zones gives us (under appropriate restrictions on the selected  model) geometric dimensions estimates of the stagnation zone of the world-economy (for more information about a stagnation zone of the world-economy, see Fernand Braudel, Les Jeux de L'echange).For example, if the subarc of a domain boundary has zero transparency, and the flow of the gradient vector field of the function through the rest of the boundary is small enough, then the domain for such function is its stagnation zone.Stagnation zones theorems are closely related to pre-Liouville's theorems about evaluation of solutions fluctuation, which direct consequences are the different versions of the classic Liouville theorem about conversion of the entire doubly periodic function into the identical constant.Identification of what parameters impact the sizes of stagnation zones opens up opportunities for practical recommendations on targeted changes in configuration (reduction or increase) of such zones.


== References ==."
What is the relationship between stagnation zones theorems and Liouville's theorem?,Stagnation zones theorems are direct consequences of Liouville's theorem.,Stagnation zones theorems can be used to prove Liouville's theorem.,Stagnation zones theorems are closely related to pre-Liouville's theorems.,Liouville's theorem is a version of the classic Liouville theorem about conversion of doubly periodic function into the identical constant.,Stagnation zones theorems evaluate solutions fluctuation in different versions of Liouville's theorem.,C,"Superslow processes are processes in which values change so little that their capture is very difficult because of their smallness in comparison with the measurement error.

Applications
Most of the time, the superslow processes lie beyond the scope of investigation due to the reason of their superslowness.  Multiple gaps can be easily detected in biology, astronomy, physics, mechanics, economics, linguistics, ecology, gerontology, etc.
Biology: Traditional scientific research in this area was focused on the describing some brain reactions.Mathematics: In mathematics, when the fluid flows through thin and long tubes it forms stagnation zones where the flow becomes almost immobile.  If the ratio of tube length to its diameter is large, then the potential function and stream function are almost invariable on very extended areas.  The situation seems uninteresting, but if we remember that these minor changes occur in the extra-long intervals, we see here a series of first-class tasks that require the development of special mathematical methods.Mathematics: Apriori information regarding the stagnation zones  contributes to optimization of the computational process by replacing the unknown functions with the corresponding constants in such zones.  Sometimes this makes it possible to significantly reduce the amount of computation, for example in approximate calculation of conformal mappings of strongly elongated rectangles.Economic Geography: The obtained results are particularly useful for applications in economic geography.  In a case where the function describes the intensity of commodity trade, a theorem about its stagnation zones gives us (under appropriate restrictions on the selected  model) geometric dimensions estimates of the stagnation zone of the world-economy (for more information about a stagnation zone of the world-economy, see Fernand Braudel, Les Jeux de L'echange).For example, if the subarc of a domain boundary has zero transparency, and the flow of the gradient vector field of the function through the rest of the boundary is small enough, then the domain for such function is its stagnation zone.Stagnation zones theorems are closely related to pre-Liouville's theorems about evaluation of solutions fluctuation, which direct consequences are the different versions of the classic Liouville theorem about conversion of the entire doubly periodic function into the identical constant.Identification of what parameters impact the sizes of stagnation zones opens up opportunities for practical recommendations on targeted changes in configuration (reduction or increase) of such zones.


== References ==."
What do the sizes of stagnation zones help identify?,The impact of parameters on the sizes of stagnation zones.,The targeted changes in configuration of stagnation zones.,The reduction or increase of stagnation zone sizes.,The practical recommendations for changes in stagnation zone configuration.,The domain boundaries with zero transparency.,A,"Superslow processes are processes in which values change so little that their capture is very difficult because of their smallness in comparison with the measurement error.

Applications
Most of the time, the superslow processes lie beyond the scope of investigation due to the reason of their superslowness.  Multiple gaps can be easily detected in biology, astronomy, physics, mechanics, economics, linguistics, ecology, gerontology, etc.
Biology: Traditional scientific research in this area was focused on the describing some brain reactions.Mathematics: In mathematics, when the fluid flows through thin and long tubes it forms stagnation zones where the flow becomes almost immobile.  If the ratio of tube length to its diameter is large, then the potential function and stream function are almost invariable on very extended areas.  The situation seems uninteresting, but if we remember that these minor changes occur in the extra-long intervals, we see here a series of first-class tasks that require the development of special mathematical methods.Mathematics: Apriori information regarding the stagnation zones  contributes to optimization of the computational process by replacing the unknown functions with the corresponding constants in such zones.  Sometimes this makes it possible to significantly reduce the amount of computation, for example in approximate calculation of conformal mappings of strongly elongated rectangles.Economic Geography: The obtained results are particularly useful for applications in economic geography.  In a case where the function describes the intensity of commodity trade, a theorem about its stagnation zones gives us (under appropriate restrictions on the selected  model) geometric dimensions estimates of the stagnation zone of the world-economy (for more information about a stagnation zone of the world-economy, see Fernand Braudel, Les Jeux de L'echange).For example, if the subarc of a domain boundary has zero transparency, and the flow of the gradient vector field of the function through the rest of the boundary is small enough, then the domain for such function is its stagnation zone.Stagnation zones theorems are closely related to pre-Liouville's theorems about evaluation of solutions fluctuation, which direct consequences are the different versions of the classic Liouville theorem about conversion of the entire doubly periodic function into the identical constant.Identification of what parameters impact the sizes of stagnation zones opens up opportunities for practical recommendations on targeted changes in configuration (reduction or increase) of such zones.


== References ==."
What is double switching?,The practice of using a multipole switch to close or open both the positive and negative sides of a DC electrical circuit,The practice of using a multipole switch to close or open both the hot and neutral sides of an AC circuit,The practice of using a multipole switch to close or open either the positive or negative side of a DC electrical circuit,The practice of using a multipole switch to close or open either the hot or neutral side of an AC circuit,The practice of using a single pole switch to close or open both the positive and negative sides of a DC electrical circuit,A,"Double switching, double cutting, or double breaking is the practice of using a multipole switch to close or open both the positive and negative sides of a DC electrical circuit, or both the hot and neutral sides of an AC circuit. This technique is used to prevent shock hazard in electric devices connected with unpolarised AC power plugs and sockets. Double switching is a crucial safety engineering practice in railway signalling, wherein it is used to ensure that a single false feed of current to a relay is unlikely to cause a wrong-side failure. It is an example of using redundancy to increase safety and reduce the likelihood of failure, analogous to double insulation. Double switching increases the cost and complexity of systems in which it is employed, for example by extra relay contacts and extra relays, so the technique is applied selectively where it can provide a cost-effective safety improvement.

Examples
Landslip and Washaway Detectors
A landslip or washaway detector is buried in the earth embankment, and opens a circuit should a landslide occur.  It is not possible to guarantee that the wet earth of the embankment will not complete the circuit which is supposed to break.  If the circuit is double cut with positive and negative wires, any wet conductive earth is likely to blow a fuse on the one hand, and short the detecting relay on the other hand, either of which is almost certain to apply the correct warning signal.

Accidents
Clapham
The Clapham Junction rail crash of 1988 was caused in part by the lack of double switching (known as ""double cutting"" in the British railway industry)."
Why is double switching used in railway signalling?,To increase the cost and complexity of systems,To reduce the likelihood of failure,To provide a cost-effective safety improvement,To prevent shock hazard in electric devices,To guarantee that the wet earth of the embankment will not complete the circuit,B,"Double switching, double cutting, or double breaking is the practice of using a multipole switch to close or open both the positive and negative sides of a DC electrical circuit, or both the hot and neutral sides of an AC circuit. This technique is used to prevent shock hazard in electric devices connected with unpolarised AC power plugs and sockets. Double switching is a crucial safety engineering practice in railway signalling, wherein it is used to ensure that a single false feed of current to a relay is unlikely to cause a wrong-side failure. It is an example of using redundancy to increase safety and reduce the likelihood of failure, analogous to double insulation. Double switching increases the cost and complexity of systems in which it is employed, for example by extra relay contacts and extra relays, so the technique is applied selectively where it can provide a cost-effective safety improvement.

Examples
Landslip and Washaway Detectors
A landslip or washaway detector is buried in the earth embankment, and opens a circuit should a landslide occur.  It is not possible to guarantee that the wet earth of the embankment will not complete the circuit which is supposed to break.  If the circuit is double cut with positive and negative wires, any wet conductive earth is likely to blow a fuse on the one hand, and short the detecting relay on the other hand, either of which is almost certain to apply the correct warning signal.

Accidents
Clapham
The Clapham Junction rail crash of 1988 was caused in part by the lack of double switching (known as ""double cutting"" in the British railway industry)."
What is an example of using redundancy to increase safety and reduce the likelihood of failure?,Double switching,Double insulation,Multipole switch,Relay contacts,Detecting relay,A,"Double switching, double cutting, or double breaking is the practice of using a multipole switch to close or open both the positive and negative sides of a DC electrical circuit, or both the hot and neutral sides of an AC circuit. This technique is used to prevent shock hazard in electric devices connected with unpolarised AC power plugs and sockets. Double switching is a crucial safety engineering practice in railway signalling, wherein it is used to ensure that a single false feed of current to a relay is unlikely to cause a wrong-side failure. It is an example of using redundancy to increase safety and reduce the likelihood of failure, analogous to double insulation. Double switching increases the cost and complexity of systems in which it is employed, for example by extra relay contacts and extra relays, so the technique is applied selectively where it can provide a cost-effective safety improvement.

Examples
Landslip and Washaway Detectors
A landslip or washaway detector is buried in the earth embankment, and opens a circuit should a landslide occur.  It is not possible to guarantee that the wet earth of the embankment will not complete the circuit which is supposed to break.  If the circuit is double cut with positive and negative wires, any wet conductive earth is likely to blow a fuse on the one hand, and short the detecting relay on the other hand, either of which is almost certain to apply the correct warning signal.

Accidents
Clapham
The Clapham Junction rail crash of 1988 was caused in part by the lack of double switching (known as ""double cutting"" in the British railway industry)."
What is the purpose of a landslip or washaway detector?,To open a circuit if a landslide occurs,To close a circuit if a landslide occurs,To prevent shock hazard in electric devices,To increase the cost and complexity of systems,To provide a cost-effective safety improvement,A,"Double switching, double cutting, or double breaking is the practice of using a multipole switch to close or open both the positive and negative sides of a DC electrical circuit, or both the hot and neutral sides of an AC circuit. This technique is used to prevent shock hazard in electric devices connected with unpolarised AC power plugs and sockets. Double switching is a crucial safety engineering practice in railway signalling, wherein it is used to ensure that a single false feed of current to a relay is unlikely to cause a wrong-side failure. It is an example of using redundancy to increase safety and reduce the likelihood of failure, analogous to double insulation. Double switching increases the cost and complexity of systems in which it is employed, for example by extra relay contacts and extra relays, so the technique is applied selectively where it can provide a cost-effective safety improvement.

Examples
Landslip and Washaway Detectors
A landslip or washaway detector is buried in the earth embankment, and opens a circuit should a landslide occur.  It is not possible to guarantee that the wet earth of the embankment will not complete the circuit which is supposed to break.  If the circuit is double cut with positive and negative wires, any wet conductive earth is likely to blow a fuse on the one hand, and short the detecting relay on the other hand, either of which is almost certain to apply the correct warning signal.

Accidents
Clapham
The Clapham Junction rail crash of 1988 was caused in part by the lack of double switching (known as ""double cutting"" in the British railway industry)."
What was a contributing factor to the Clapham Junction rail crash of 1988?,Double switching,Double cutting,Lack of double switching,Lack of double cutting,Double insulation,C,"Double switching, double cutting, or double breaking is the practice of using a multipole switch to close or open both the positive and negative sides of a DC electrical circuit, or both the hot and neutral sides of an AC circuit. This technique is used to prevent shock hazard in electric devices connected with unpolarised AC power plugs and sockets. Double switching is a crucial safety engineering practice in railway signalling, wherein it is used to ensure that a single false feed of current to a relay is unlikely to cause a wrong-side failure. It is an example of using redundancy to increase safety and reduce the likelihood of failure, analogous to double insulation. Double switching increases the cost and complexity of systems in which it is employed, for example by extra relay contacts and extra relays, so the technique is applied selectively where it can provide a cost-effective safety improvement.

Examples
Landslip and Washaway Detectors
A landslip or washaway detector is buried in the earth embankment, and opens a circuit should a landslide occur.  It is not possible to guarantee that the wet earth of the embankment will not complete the circuit which is supposed to break.  If the circuit is double cut with positive and negative wires, any wet conductive earth is likely to blow a fuse on the one hand, and short the detecting relay on the other hand, either of which is almost certain to apply the correct warning signal.

Accidents
Clapham
The Clapham Junction rail crash of 1988 was caused in part by the lack of double switching (known as ""double cutting"" in the British railway industry)."
What is sustainable engineering?,The process of designing systems that use energy and resources sustainably,The process of designing systems that compromise the natural environment,The process of designing systems that meet the needs of future generations,The process of designing systems that focus on water supply,The process of designing systems that focus on energy development,A,"Sustainable engineering is the process of designing or operating systems such that they use energy and resources sustainably, in other words, at a rate that does not compromise the natural environment, or the ability of future generations to meet their own needs.

Common engineering focuses
Sustainable Engineering focuses on the following -

Water supply
Food production
Housing and shelter
Sanitation and waste management
Energy development
Transportation
Industrial processing
Development of natural resources
Cleaning up polluted waste sites
Planning projects to reduce environmental and social impacts
Restoring natural environments such as forests, lakes, streams, and wetlands
Providing medical care to those in need
Minimizing and responsibly disposing of waste to benefit all
Improving industrial processes to eliminate waste and reduce consumption
Recommending the appropriate and innovative use of technology

Aspects of engineering disciplines
Every engineering discipline is engaged in sustainable design, employing numerous initiatives, especially life cycle analysis (LCA), pollution prevention, Design for the Environment (DfE), Design for Disassembly (DfD), and Design for Recycling (DfR).  These are replacing or at least changing pollution control paradigms. For example, concept of a ""cap and trade"" has been tested and works well for some pollutants. This is a system where companies are allowed to place a ""bubble"" over a whole manufacturing complex or trade pollution credits with other companies in their industry instead of a ""stack-by-stack"" and ""pipe-by-pipe"" approach, i.e. the so-called ""command and control"" approach. Such policy and regulatory innovations call for some improved technology based approaches as well as better quality-based approaches, such as leveling out the pollutant loadings and using less expensive technologies to remove the first large bulk of pollutants, followed by higher operation and maintenance (O&M) technologies for the more difficult to treat stacks and pipes. But, the net effect can be a greater reduction of pollutant emissions and effluents than treating each stack or pipe as an independent entity."
Which of the following is NOT a common focus of sustainable engineering?,Food production,Housing and shelter,Transportation,Industrial processing,Providing medical care to those in need,E,"Sustainable engineering is the process of designing or operating systems such that they use energy and resources sustainably, in other words, at a rate that does not compromise the natural environment, or the ability of future generations to meet their own needs.

Common engineering focuses
Sustainable Engineering focuses on the following -

Water supply
Food production
Housing and shelter
Sanitation and waste management
Energy development
Transportation
Industrial processing
Development of natural resources
Cleaning up polluted waste sites
Planning projects to reduce environmental and social impacts
Restoring natural environments such as forests, lakes, streams, and wetlands
Providing medical care to those in need
Minimizing and responsibly disposing of waste to benefit all
Improving industrial processes to eliminate waste and reduce consumption
Recommending the appropriate and innovative use of technology

Aspects of engineering disciplines
Every engineering discipline is engaged in sustainable design, employing numerous initiatives, especially life cycle analysis (LCA), pollution prevention, Design for the Environment (DfE), Design for Disassembly (DfD), and Design for Recycling (DfR).  These are replacing or at least changing pollution control paradigms. For example, concept of a ""cap and trade"" has been tested and works well for some pollutants. This is a system where companies are allowed to place a ""bubble"" over a whole manufacturing complex or trade pollution credits with other companies in their industry instead of a ""stack-by-stack"" and ""pipe-by-pipe"" approach, i.e. the so-called ""command and control"" approach. Such policy and regulatory innovations call for some improved technology based approaches as well as better quality-based approaches, such as leveling out the pollutant loadings and using less expensive technologies to remove the first large bulk of pollutants, followed by higher operation and maintenance (O&M) technologies for the more difficult to treat stacks and pipes. But, the net effect can be a greater reduction of pollutant emissions and effluents than treating each stack or pipe as an independent entity."
What are some aspects of sustainable design in engineering?,Life cycle analysis and pollution prevention,Design for the Environment and Design for Disassembly,Design for Recycling and Design for the Environment,Life cycle analysis and Design for Recycling,Pollution prevention and Design for Disassembly,A,"Sustainable engineering is the process of designing or operating systems such that they use energy and resources sustainably, in other words, at a rate that does not compromise the natural environment, or the ability of future generations to meet their own needs.

Common engineering focuses
Sustainable Engineering focuses on the following -

Water supply
Food production
Housing and shelter
Sanitation and waste management
Energy development
Transportation
Industrial processing
Development of natural resources
Cleaning up polluted waste sites
Planning projects to reduce environmental and social impacts
Restoring natural environments such as forests, lakes, streams, and wetlands
Providing medical care to those in need
Minimizing and responsibly disposing of waste to benefit all
Improving industrial processes to eliminate waste and reduce consumption
Recommending the appropriate and innovative use of technology

Aspects of engineering disciplines
Every engineering discipline is engaged in sustainable design, employing numerous initiatives, especially life cycle analysis (LCA), pollution prevention, Design for the Environment (DfE), Design for Disassembly (DfD), and Design for Recycling (DfR).  These are replacing or at least changing pollution control paradigms. For example, concept of a ""cap and trade"" has been tested and works well for some pollutants. This is a system where companies are allowed to place a ""bubble"" over a whole manufacturing complex or trade pollution credits with other companies in their industry instead of a ""stack-by-stack"" and ""pipe-by-pipe"" approach, i.e. the so-called ""command and control"" approach. Such policy and regulatory innovations call for some improved technology based approaches as well as better quality-based approaches, such as leveling out the pollutant loadings and using less expensive technologies to remove the first large bulk of pollutants, followed by higher operation and maintenance (O&M) technologies for the more difficult to treat stacks and pipes. But, the net effect can be a greater reduction of pollutant emissions and effluents than treating each stack or pipe as an independent entity."
"What is the concept of ""cap and trade""?",The process of placing a bubble over a manufacturing complex,The process of trading pollution credits with other companies,The process of implementing a command and control approach,The process of reducing pollutant emissions and effluents,The process of using less expensive technologies for pollutant removal,B,"Sustainable engineering is the process of designing or operating systems such that they use energy and resources sustainably, in other words, at a rate that does not compromise the natural environment, or the ability of future generations to meet their own needs.

Common engineering focuses
Sustainable Engineering focuses on the following -

Water supply
Food production
Housing and shelter
Sanitation and waste management
Energy development
Transportation
Industrial processing
Development of natural resources
Cleaning up polluted waste sites
Planning projects to reduce environmental and social impacts
Restoring natural environments such as forests, lakes, streams, and wetlands
Providing medical care to those in need
Minimizing and responsibly disposing of waste to benefit all
Improving industrial processes to eliminate waste and reduce consumption
Recommending the appropriate and innovative use of technology

Aspects of engineering disciplines
Every engineering discipline is engaged in sustainable design, employing numerous initiatives, especially life cycle analysis (LCA), pollution prevention, Design for the Environment (DfE), Design for Disassembly (DfD), and Design for Recycling (DfR).  These are replacing or at least changing pollution control paradigms. For example, concept of a ""cap and trade"" has been tested and works well for some pollutants. This is a system where companies are allowed to place a ""bubble"" over a whole manufacturing complex or trade pollution credits with other companies in their industry instead of a ""stack-by-stack"" and ""pipe-by-pipe"" approach, i.e. the so-called ""command and control"" approach. Such policy and regulatory innovations call for some improved technology based approaches as well as better quality-based approaches, such as leveling out the pollutant loadings and using less expensive technologies to remove the first large bulk of pollutants, followed by higher operation and maintenance (O&M) technologies for the more difficult to treat stacks and pipes. But, the net effect can be a greater reduction of pollutant emissions and effluents than treating each stack or pipe as an independent entity."
What is the net effect of policy and regulatory innovations in sustainable engineering?,A greater reduction of pollutant emissions and effluents,Leveling out the pollutant loadings in stacks and pipes,Using better quality-based approaches for pollutant removal,Treating each stack or pipe as an independent entity,Implementing a command and control approach,A,"Sustainable engineering is the process of designing or operating systems such that they use energy and resources sustainably, in other words, at a rate that does not compromise the natural environment, or the ability of future generations to meet their own needs.

Common engineering focuses
Sustainable Engineering focuses on the following -

Water supply
Food production
Housing and shelter
Sanitation and waste management
Energy development
Transportation
Industrial processing
Development of natural resources
Cleaning up polluted waste sites
Planning projects to reduce environmental and social impacts
Restoring natural environments such as forests, lakes, streams, and wetlands
Providing medical care to those in need
Minimizing and responsibly disposing of waste to benefit all
Improving industrial processes to eliminate waste and reduce consumption
Recommending the appropriate and innovative use of technology

Aspects of engineering disciplines
Every engineering discipline is engaged in sustainable design, employing numerous initiatives, especially life cycle analysis (LCA), pollution prevention, Design for the Environment (DfE), Design for Disassembly (DfD), and Design for Recycling (DfR).  These are replacing or at least changing pollution control paradigms. For example, concept of a ""cap and trade"" has been tested and works well for some pollutants. This is a system where companies are allowed to place a ""bubble"" over a whole manufacturing complex or trade pollution credits with other companies in their industry instead of a ""stack-by-stack"" and ""pipe-by-pipe"" approach, i.e. the so-called ""command and control"" approach. Such policy and regulatory innovations call for some improved technology based approaches as well as better quality-based approaches, such as leveling out the pollutant loadings and using less expensive technologies to remove the first large bulk of pollutants, followed by higher operation and maintenance (O&M) technologies for the more difficult to treat stacks and pipes. But, the net effect can be a greater reduction of pollutant emissions and effluents than treating each stack or pipe as an independent entity."
What are some examples of fields in mathematics?,"The field of rational numbers, the field of real numbers and the field of complex numbers.","The field of polynomials, the field of integers, and the field of fractions.","The field of irrational numbers, the field of prime numbers, and the field of even numbers.","The field of exponential functions, the field of logarithmic functions, and the field of trigonometric functions.","The field of vectors, the field of matrices, and the field of determinants.",A,"In mathematics, a field is a set on which addition, subtraction, multiplication, and division are defined and behave as the corresponding operations on rational and real numbers do. A field is thus a fundamental algebraic structure which is widely used in algebra, number theory, and many other areas of mathematics.
The best known fields are the field of rational numbers, the field of real numbers and the field of complex numbers. Many other fields, such as fields of rational functions, algebraic function fields, algebraic number fields, and p-adic fields are commonly used and studied in mathematics, particularly in number theory and algebraic geometry. Most cryptographic protocols rely on finite fields, i.e., fields with finitely many elements.
The relation of two fields is expressed by the notion of a field extension. Galois theory, initiated by Évariste Galois in the 1830s, is devoted to understanding the symmetries of field extensions. Among other results, this theory shows that angle trisection and squaring the circle cannot be done with a compass and straightedge. Moreover, it shows that quintic equations are, in general, algebraically unsolvable.
Fields serve as foundational notions in several mathematical domains."
What are some other fields commonly used and studied in mathematics?,"Fields of rational exponents, fields of logarithmic functions, and fields of exponential functions.","Fields of quadratic equations, fields of linear equations, and fields of cubic equations.","Fields of rational functions, algebraic function fields, and algebraic number fields.","Fields of prime numbers, fields of composite numbers, and fields of rational numbers.","Fields of sine functions, fields of cosine functions, and fields of tangent functions.",C,"In mathematics, a field is a set on which addition, subtraction, multiplication, and division are defined and behave as the corresponding operations on rational and real numbers do. A field is thus a fundamental algebraic structure which is widely used in algebra, number theory, and many other areas of mathematics.
The best known fields are the field of rational numbers, the field of real numbers and the field of complex numbers. Many other fields, such as fields of rational functions, algebraic function fields, algebraic number fields, and p-adic fields are commonly used and studied in mathematics, particularly in number theory and algebraic geometry. Most cryptographic protocols rely on finite fields, i.e., fields with finitely many elements.
The relation of two fields is expressed by the notion of a field extension. Galois theory, initiated by Évariste Galois in the 1830s, is devoted to understanding the symmetries of field extensions. Among other results, this theory shows that angle trisection and squaring the circle cannot be done with a compass and straightedge. Moreover, it shows that quintic equations are, in general, algebraically unsolvable.
Fields serve as foundational notions in several mathematical domains."
What is the relation between two fields expressed by?,The notion of a field multiplication.,The notion of a field addition.,The notion of a field division.,The notion of a field subtraction.,The notion of a field extension.,E,"In mathematics, a field is a set on which addition, subtraction, multiplication, and division are defined and behave as the corresponding operations on rational and real numbers do. A field is thus a fundamental algebraic structure which is widely used in algebra, number theory, and many other areas of mathematics.
The best known fields are the field of rational numbers, the field of real numbers and the field of complex numbers. Many other fields, such as fields of rational functions, algebraic function fields, algebraic number fields, and p-adic fields are commonly used and studied in mathematics, particularly in number theory and algebraic geometry. Most cryptographic protocols rely on finite fields, i.e., fields with finitely many elements.
The relation of two fields is expressed by the notion of a field extension. Galois theory, initiated by Évariste Galois in the 1830s, is devoted to understanding the symmetries of field extensions. Among other results, this theory shows that angle trisection and squaring the circle cannot be done with a compass and straightedge. Moreover, it shows that quintic equations are, in general, algebraically unsolvable.
Fields serve as foundational notions in several mathematical domains."
What does Galois theory study?,The symmetries of geometric shapes.,The symmetries of polynomial equations.,The symmetries of complex numbers.,The symmetries of vector spaces.,The symmetries of field extensions.,E,"In mathematics, a field is a set on which addition, subtraction, multiplication, and division are defined and behave as the corresponding operations on rational and real numbers do. A field is thus a fundamental algebraic structure which is widely used in algebra, number theory, and many other areas of mathematics.
The best known fields are the field of rational numbers, the field of real numbers and the field of complex numbers. Many other fields, such as fields of rational functions, algebraic function fields, algebraic number fields, and p-adic fields are commonly used and studied in mathematics, particularly in number theory and algebraic geometry. Most cryptographic protocols rely on finite fields, i.e., fields with finitely many elements.
The relation of two fields is expressed by the notion of a field extension. Galois theory, initiated by Évariste Galois in the 1830s, is devoted to understanding the symmetries of field extensions. Among other results, this theory shows that angle trisection and squaring the circle cannot be done with a compass and straightedge. Moreover, it shows that quintic equations are, in general, algebraically unsolvable.
Fields serve as foundational notions in several mathematical domains."
What does Galois theory show about angle trisection and squaring the circle?,They can be done with a compass and straightedge.,They cannot be done with a compass and straightedge.,They can only be done with a compass and straightedge.,They can be done with a ruler and protractor.,They cannot be done with a ruler and protractor.,B,"In mathematics, a field is a set on which addition, subtraction, multiplication, and division are defined and behave as the corresponding operations on rational and real numbers do. A field is thus a fundamental algebraic structure which is widely used in algebra, number theory, and many other areas of mathematics.
The best known fields are the field of rational numbers, the field of real numbers and the field of complex numbers. Many other fields, such as fields of rational functions, algebraic function fields, algebraic number fields, and p-adic fields are commonly used and studied in mathematics, particularly in number theory and algebraic geometry. Most cryptographic protocols rely on finite fields, i.e., fields with finitely many elements.
The relation of two fields is expressed by the notion of a field extension. Galois theory, initiated by Évariste Galois in the 1830s, is devoted to understanding the symmetries of field extensions. Among other results, this theory shows that angle trisection and squaring the circle cannot be done with a compass and straightedge. Moreover, it shows that quintic equations are, in general, algebraically unsolvable.
Fields serve as foundational notions in several mathematical domains."
When was the Faculty of Natural Sciences formed?,1848,2001,1870s,1907,1890,B,"The Faculty of Natural Sciences is one of the three main faculties of Imperial College London in London, England. It was formed in 2001 from the former Royal College of Science, a constituent college of Imperial College which dated back to 1848, and the faculty largely consists of the original departments of the College. Undergraduate teaching occurs for all departments at the South Kensington campus, with research being split between South Kensington and the new innovation campus at White City.Students who study at the departments of the Faculty are represented by the Royal College of Science Union, a constituent union of the college union which caters specifically to students on natural science courses. Graduates who obtain an undergraduate degree, either BSc or MSci, from the faculty are awarded the Associateship of the Royal College of Science (ARCS) as an additional degree.

History
The origins of the faculty lie in the Royal College of Chemistry, which, after being founded in 1845, moved to a new site in South Kensington in the early 1870s. Incorporated into the Normal School of Science, the college was later renamed the Royal College of Science in 1890, and in 1907 became a constituent college of the newly formed Imperial College of Science and Technology.In 2001, Imperial was restructured to form four new faculties, including the faculties of Physical Sciences and Life Sciences, which took over the role of the Royal College of Science. These faculties were later re-merged over the course of 2005-2006 to form the Faculty of Natural Sciences, which comprises the same departments as the original Royal College of Science.

Departments
The faculty includes five academic departments:

Chemistry
Mathematics
Physics, The Blackett Laboratory
Life Sciences
Centre for Environmental Policy

References
External links
Imperial College Faculty of Natural Sciences website."
